Penetrance,CaseCars,ControlCars,TotControls,TotCases,Scenario
0.05,0,0,6909322,69791,1
0.05,0,0,7728408,78064,1
0.05,0,0,7144888,72170,1
0.05,883,16784,7704372,78535,1
0.05,1086,20642,6842319,69991,1
0.05,654,12438,6995451,71189,1
0.05,0,0,6504572,65702,1
0.05,0,0,7556447,76327,1
0.05,641,12191,6948404,70703,1
0.05,0,0,7046750,71179,1
0.05,533,10135,7097970,72127,1
0.05,0,0,7264503,73378,1
0.05,33,632,7246893,73227,1
0.05,582,11066,7091977,72106,1
0.05,380,7231,8137119,82500,1
0.05,1235,23473,7514731,76904,1
0.05,0,0,7066880,71382,1
0.05,0,0,6508541,65742,1
0.05,0,0,6735222,68032,1
0.05,433,8234,7967314,80827,1
0.05,0,0,6641707,67087,1
0.05,1435,27282,7257722,74469,1
0.05,366,6956,7570681,76767,1
0.05,0,0,7475250,75507,1
0.05,0,0,7468121,75435,1
0.05,0,0,6358683,64229,1
0.05,0,0,7127241,71992,1
0.05,51,972,7064992,71404,1
0.05,0,0,7022933,70938,1
0.05,0,0,7055391,71266,1
0.05,0,0,7252614,73258,1
0.05,1192,22665,8137320,83158,1
0.05,0,0,6173827,62361,1
0.05,0,0,6708630,67763,1
0.05,0,0,7572930,76494,1
0.05,0,0,7598557,76753,1
0.05,421,8008,7597272,77080,1
0.05,0,0,6125291,61871,1
0.05,207,3937,7185880,72751,1
0.05,1011,19225,7172319,73264,1
0.05,858,16314,6947093,70865,1
0.05,742,14101,7128306,72602,1
0.05,662,12597,7156178,72819,1
0.05,0,0,6576238,66426,1
0.05,1101,20932,6812750,69705,1
0.05,647,12304,7139394,72637,1
0.05,0,0,7198851,72715,1
0.05,0,0,7607050,76838,1
0.05,319,6063,6710712,68042,1
0.05,886,16841,6895527,70367,1
0.05,2351,44673,7709965,79778,1
0.05,0,0,6680627,67481,1
0.05,0,0,6583940,66504,1
0.05,236,4496,7295444,73881,1
0.05,707,13435,7780508,79162,1
0.05,0,0,6068962,61302,1
0.05,0,0,6647050,67141,1
0.05,924,17569,7502903,76533,1
0.05,0,0,7294379,73680,1
0.05,152,2889,7601771,76908,1
0.05,0,0,7271874,73453,1
0.05,0,0,6842877,69119,1
0.05,76,1457,7109348,71872,1
0.05,98,1862,7772901,78593,1
0.05,141,2685,6787315,68672,1
0.05,0,0,7206265,72790,1
0.05,411,7814,6539256,66385,1
0.05,0,0,7469167,75446,1
0.05,221,4200,6528921,66127,1
0.05,0,0,6726396,67943,1
0.05,2292,43556,6323854,65729,1
0.05,0,0,7825782,79048,1
0.05,882,16770,6866259,70068,1
0.05,0,0,6647943,67150,1
0.05,0,0,7078188,71496,1
0.05,0,0,7562062,76384,1
0.05,1495,28412,7327243,75220,1
0.05,0,0,6757198,68254,1
0.05,0,0,6618437,66852,1
0.05,234,4462,6905999,69946,1
0.05,0,0,7182716,72552,1
0.05,0,0,7589588,76662,1
0.05,166,3160,6901142,69842,1
0.05,824,15657,7428023,75696,1
0.05,794,15093,6860402,69938,1
0.05,326,6197,7089651,71876,1
0.05,108,2061,7411362,74949,1
0.05,324,6172,7530524,76327,1
0.05,1111,21116,6826905,69856,1
0.05,823,15652,7782495,79275,1
0.05,0,0,7317787,73917,1
0.05,671,12763,7470109,75997,1
0.05,467,8890,6439152,65419,1
0.05,0,0,6369356,64336,1
0.05,0,0,6710799,67785,1
0.05,746,14181,7035100,71664,1
0.05,284,5403,6570185,66594,1
0.05,0,0,6771830,68402,1
0.05,0,0,7018651,70895,1
0.05,0,0,7215979,72888,1
0.05,540,10261,6992028,71062,1
0.05,0,0,7312093,73859,1
0.05,1480,28133,7536600,77323,1
0.05,0,0,6966013,70363,1
0.05,97,1857,7196252,72767,1
0.05,185,3532,6898175,69827,1
0.05,0,0,5695173,57526,1
0.05,471,8961,5927541,60254,1
0.05,0,0,7325558,73995,1
0.05,0,0,7325135,73991,1
0.05,0,0,7366347,74407,1
0.05,0,0,6970005,70404,1
0.05,0,0,7062987,71343,1
0.05,0,0,7558720,76350,1
0.05,304,5790,6812564,69059,1
0.05,0,0,6793862,68624,1
0.05,715,13595,7466373,75995,1
0.05,0,0,7387373,74619,1
0.05,0,0,7467295,75427,1
0.05,0,0,6951491,70217,1
0.05,0,0,7103896,71756,1
0.05,0,0,7078113,71496,1
0.05,0,0,6587476,66540,1
0.05,0,0,7231056,73040,1
0.05,0,0,7138079,72101,1
0.05,1451,27585,6720134,69052,1
0.05,0,0,7010842,70816,1
0.05,0,0,7159500,72318,1
0.05,0,0,7587241,76638,1
0.05,247,4705,7036194,71272,1
0.05,317,6027,7199551,72978,1
0.05,1195,22706,6560708,67235,1
0.05,704,13383,7042367,71703,1
